mesh_id	name
D013274	Stomach Neoplasms
D008175	Lung Neoplasms
D020786	"Hemangioma, Cavernous, Central Nervous System"
D006528	Carcinoma Hepatocellular
D007154	Immune System Diseases
D014901	West Nile Fever
D011471	Prostatic Neoplasms
D001943	Breast Neoplasms
D007889	Leiomyoma
D015179	Colorectal Neoplasms
D006333	Heart Failure
D010051	Ovarian Neoplasms
D015470	"Leukemia, Myeloid, Acute"
D008103	Liver Cirrhosis
D002289	"Carcinoma, Non-Small-Cell Lung"
D012516	Osteosarcoma
D005909	Glioblastoma
D005910	Glioma
D014376	Tuberculosis
D015473	"Leukemia, Promyelocytic, Acute"
D011218	Prader-Willi Syndrome
D021441	"Carcinoma, Pancreatic Ductal"
D000230	Adenocarcinoma
D055752	Small Cell Lung Carcinoma
D000077195	Squamous Cell Carcinoma of Head and Neck
D015535	"Arthritis, Psoriatic"
D020031	Epstein-Barr Virus Infections
